"","Port","YEAR","HC","vHC","HP","vHP","H","vH"
"1","Homer",1996,1196,34541,1009,31865,2205,66346
"2","Homer",1997,1496,126344,739,73544,2235,159029
"3","Homer",1998,911,22628,545,11565,1456,35953
"4","Homer",1999,953,25285,345,10125,1298,35458
"5","Homer",2000,1471,47489,343,13169,1814,62897
"6","Homer",2001,1527,66629,460,23801,1987,84625
"7","Homer",2002,1032,28322,568,25589,1600,50570
"8","Homer",2003,1602,71785,517,19289,2119,94825
"9","Homer",2004,2307,325130,1004,129285,3311,426618
"10","Homer",2005,1857,108829,1179,86420,3036,164317
"11","Homer",2006,2700,145161,607,21025,3307,169744
"12","Homer",2007,5357,448900,1655,291600,7012,737881
"13","Homer",2008,5003,305809,1130,53361,6133,351649
"14","Homer",2009,4022,177241,1772,229441,5794,395641
"15","Homer",2010,4043,183184,1182,34969,5225,210681
"16","Homer",2011,5297,336400,2180,149769,7477,478864
"17","Homer",2012,3850,143641,1693,117649,5543,254016
"18","Homer",2013,4144,196249,1486,85849,5630,284089
"19","Homer",2014,3335,168100,985,82369,4320,254016
"20","Homer",2015,2022,75625,886,51076,2908,122500
"21","Homer",2016,2228,104976,884,36864,3112,138384
"22","Homer",2017,2371,142129,528,13924,2899,152881
"23","Homer",2018,2290,111556,971,44521,3261,159201
"24","Homer",2019,1655,80656,433,15129,2088,311
"25","Kodiak",1996,496,18496,578,23716,1074,37249
"26","Kodiak",1997,343,32761,934,41616,1277,46656
"27","Kodiak",1998,636,34969,686,36864,1322,50625
"28","Kodiak",1999,912,65536,814,55696,1726,82944
"29","Kodiak",2000,717,30976,1249,64009,1966,84100
"30","Kodiak",2001,442,55225,1088,128881,1530,156025
"31","Kodiak",2002,390,33124,709,44521,1099,56644
"32","Kodiak",2003,585,40401,861,51076,1446,58081
"33","Kodiak",2004,1305,116281,1202,92416,2507,148996
"34","Kodiak",2005,1671,173056,933,92416,2604,259081
"35","Kodiak",2006,1921,118336,526,23409,2447,133956
"36","Kodiak",2007,1907,102400,1296,152100,3203,247009
"37","Kodiak",2008,2314,164836,1204,76176,3518,200704
"38","Kodiak",2009,1740,93636,1996,118336,3736,154449
"39","Kodiak",2010,2413,180625,1553,134689,3966,230400
"40","Kodiak",2011,2870,259081,1363,104329,4233,368449
"41","Kodiak",2012,2817,219024,1152,83521,3969,295936
"42","Kodiak",2013,2930,183184,1414,211600,4344,393129
"43","Kodiak",2014,3684,259081,750,37249,4434,297025
"44","Kodiak",2015,1789,107584,1156,83521,2945,195364
"45","Kodiak",2016,1845,114244,1051,81796,2896,192721
"46","Kodiak",2017,1982,136900,446,23716,2428,161604
"47","Kodiak",2018,2297,133956,1633,140625,3930,275625
"48","Kodiak",2019,2919,214369,2287,214369,5206,652
"49","Seward",1996,1355,64516,1460,79524,2815,144400
"50","Seward",1997,1380,71824,1677,119025,3057,243049
"51","Seward",1998,1507,57600,839,42025,2346,121104
"52","Seward",1999,1662,53361,1783,71289,3445,126736
"53","Seward",2000,2561,354025,3004,700569,5565,24025
"54","Seward",2001,2341,75625,1353,43681,3694,117649
"55","Seward",2002,2247,126736,1911,131044,4158,295936
"56","Seward",2003,2582,94249,1627,59536,4209,131044
"57","Seward",2004,2979,126025,2087,105625,5066,225625
"58","Seward",2005,3391,142129,2060,81225,5451,202500
"59","Seward",2006,4385,152881,1892,69696,6277,212521
"60","Seward",2007,6093,376996,2954,150544,9047,558009
"61","Seward",2008,5688,222784,3475,206116,9163,381924
"62","Seward",2009,4113,164836,2684,172225,6797,366025
"63","Seward",2010,5131,194481,2268,98596,7399,269361
"64","Seward",2011,5488,185761,1747,108900,7235,302500
"65","Seward",2012,5599,203401,1181,40401,6780,252004
"66","Seward",2013,4196,141376,2230,188356,6426,308025
"67","Seward",2014,4254,143641,1220,68121,5474,207025
"68","Seward",2015,4360,190096,1084,50176,5444,236196
"69","Seward",2016,3676,145161,1078,60025,4754,208849
"70","Seward",2017,3199,207936,337,16384,3536,219024
"71","Seward",2018,2967,158404,728,19044,3695,183184
"72","Seward",2019,2705,81225,968,77841,3673,408
"73","Valdez",1996,409,11236,559,14884,968,34225
"74","Valdez",1997,806,67081,958,177241,1764,390625
"75","Valdez",1998,949,76176,355,7744,1304,94864
"76","Valdez",1999,579,12996,695,19881,1274,44521
"77","Valdez",2000,776,19321,594,17424,1370,40804
"78","Valdez",2001,1254,37249,726,19321,1980,75625
"79","Valdez",2002,780,35344,667,18496,1447,68644
"80","Valdez",2003,1055,56644,755,32400,1810,129600
"81","Valdez",2004,1403,48400,1084,38025,2487,106276
"82","Valdez",2005,1834,205209,1053,48400,2887,361201
"83","Valdez",2006,1714,56169,921,23104,2635,104329
"84","Valdez",2007,2571,123904,1654,90000,4225,298116
"85","Valdez",2008,1591,60025,1389,54756,2980,148996
"86","Valdez",2009,1960,75076,1477,52441,3437,161604
"87","Valdez",2010,2138,80089,1219,48841,3357,164836
"88","Valdez",2011,1156,51076,1188,108900,2344,162409
"89","Valdez",2012,1374,47089,627,32761,2001,81796
"90","Valdez",2013,891,33124,781,54289,1672,85264
"91","Valdez",2014,1225,56644,945,73984,2170,133956
"92","Valdez",2015,1314,56644,1191,106276,2505,157609
"93","Valdez",2016,883,31329,410,14161,1293,46225
"94","Valdez",2017,739,27556,669,42849,1408,66049
"95","Valdez",2018,886,34225,349,17161,1235,54756
"96","Valdez",2019,960,29584,1289,124609,2249,393
"97","Whittier",1996,427,13225,455,12996,882,35344
"98","Whittier",1997,705,30625,808,37249,1513,94864
"99","Whittier",1998,517,16641,281,4489,798,25281
"100","Whittier",1999,280,5929,263,5184,543,15625
"101","Whittier",2000,672,24025,707,26569,1379,56169
"102","Whittier",2001,732,19881,399,9409,1131,44944
"103","Whittier",2002,893,63504,1088,121801,1981,287296
"104","Whittier",2003,651,14884,508,13924,1159,41616
"105","Whittier",2004,714,23104,677,24964,1391,69696
"106","Whittier",2005,783,13689,586,13689,1369,69696
"107","Whittier",2006,1359,94864,567,12321,1926,143641
"108","Whittier",2007,1657,82944,1435,76176,3092,230400
"109","Whittier",2008,1401,53824,1366,50625,2767,131044
"110","Whittier",2009,1625,51529,1190,57121,2815,198916
"111","Whittier",2010,1946,103041,1311,68121,3257,229441
"112","Whittier",2011,252,6889,2066,1067089,2318,1075369
"113","Whittier",2012,558,29241,1389,178929,1947,213444
"114","Whittier",2013,652,24964,1035,82369,1687,104976
"115","Whittier",2014,807,33856,996,64516,1803,96100
"116","Whittier",2015,607,50176,478,21316,1085,70225
"117","Whittier",2016,530,15129,879,99856,1409,116281
"118","Whittier",2017,263,8100,298,11236,561,19044
"119","Whittier",2018,638,28224,846,407044,1484,450241
"120","Whittier",2019,477,10201,275,9409,752,143
